# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
1000000 161
  1 8.45849 664.214 301.594
  2 28.4585 655.705 301.986
  3 48.4585 649.065 302.539
  4 68.4585 648.07 302.207
  5 88.4585 650.307 303.282
  6 108.458 660.986 303.869
  7 128.458 668.278 304.105
  8 148.458 661.331 304.076
  9 168.458 652.56 303.684
  10 188.458 648.486 304.481
  11 208.458 648.507 304.873
  12 228.458 652.933 305.06
  13 248.458 664.739 305.268
  14 268.458 668.604 306.106
  15 288.458 656.952 306.049
  16 308.458 650.037 306.48
  17 328.458 648.254 306.208
  18 348.458 649.48 306.902
  19 368.458 656.667 307.419
  20 388.458 667.458 307.922
  21 408.458 665.86 307.448
  22 428.458 653.543 307.886
  23 448.458 648.81 308.49
  24 468.458 648.25 308.306
  25 488.458 650.54 308.869
  26 508.458 660.077 309.274
  27 528.458 667.605 310.159
  28 548.458 663.689 310.491
  29 568.458 651.399 310.697
  30 588.458 648.463 310.654
  31 608.458 648.707 311.33
  32 628.458 653.221 312.004
  33 648.458 662.958 312.193
  34 668.458 667.144 312.729
  35 688.458 659.395 314.225
  36 708.458 650.307 315.3
  37 728.458 648.412 315.814
  38 748.458 649.616 317.339
  39 768.458 656.81 319.559
  40 788.458 663.958 323.69
  41 808.458 665.174 329.026
  42 828.458 656.658 322.032
  43 848.458 649.537 318.953
  44 868.458 648.39 317.784
  45 888.458 651.466 316.199
  46 908.458 659.219 315.159
  47 928.458 664.248 315.008
  48 948.458 663.682 313.855
  49 968.458 653.968 312.752
  50 988.458 649.162 312.162
  51 1008.46 648.662 311.519
  52 1028.46 652.843 311.142
  53 1048.46 662.407 311.081
  54 1068.46 665.544 311.175
  55 1088.46 660.018 310.712
  56 1108.46 651.98 309.764
  57 1128.46 648.694 309.325
  58 1148.46 649.531 308.796
  59 1168.46 655.939 308.105
  60 1188.46 664.424 307.762
  61 1208.46 664.643 307.645
  62 1228.46 657.06 307.741
  63 1248.46 650.157 306.638
  64 1268.46 648.311 307.082
  65 1288.46 650.062 307.384
  66 1308.46 659.126 306.613
  67 1328.46 666.898 306.529
  68 1348.46 662.73 306.672
  69 1368.46 653.572 306.536
  70 1388.46 649.376 305.478
  71 1408.46 648.467 305.137
  72 1428.46 652.3 304.746
  73 1448.46 662.958 303.658
  74 1468.46 667.003 303.49
  75 1488.46 659.607 303.666
  76 1508.46 651.442 302.893
  77 1528.46 648.539 303.107
  78 1548.46 649.365 303.22
  79 1568.46 655.601 302.679
  80 1588.46 665.488 302.192
  81 1608.46 665.4 302.064
  82 1628.46 655.991 300.875
  83 1648.46 649.762 301.551
  84 1668.46 648.423 301.032
  85 1688.46 650.762 300.876
  86 1708.46 658.965 300.55
  87 1728.46 667.47 299.622
  88 1748.46 662.672 300.443
  89 1768.46 652.785 299.663
  90 1788.46 648.967 299.678
  91 1808.46 648.717 299.862
  92 1828.46 652.905 299.501
  93 1848.46 663.261 299.033
  94 1868.46 668.553 297.969
  95 1888.46 657.913 298.231
  96 1908.46 650.255 298.498
  97 1928.46 648.57 298.775
  98 1948.46 649.681 298.985
  99 1968.46 655.711 298.323
  100 1988.46 667.048 298.367
  101 2008.46 665.606 296.969
  102 2028.46 654.099 296.437
  103 2048.46 649.535 296.877
  104 2068.46 648.455 296.977
  105 2088.46 650.846 296.411
  106 2108.46 658.416 295.457
  107 2128.46 669.513 294.533
  108 2148.46 661.836 294.342
  109 2168.46 652.59 294.383
  110 2188.46 648.64 294.758
  111 2208.46 648.834 293.424
  112 2228.46 653.947 292.724
  113 2248.46 663.496 292.448
  114 2268.46 667.05 291.52
  115 2288.46 657.786 290.947
  116 2308.46 650.528 290.261
  117 2328.46 648.598 289.778
  118 2348.46 650.348 289.189
  119 2368.46 657.87 287.714
  120 2388.46 664.786 283.928
  121 2408.46 663.135 278.865
  122 2428.46 655.892 285.199
  123 2448.46 649.674 287.657
  124 2468.46 648.508 289.102
  125 2488.46 652.115 289.735
  126 2508.46 661.094 290.918
  127 2528.46 664.837 291.44
