# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
500000 31
  1 9.42391 674.738 300.761
  2 29.4239 702 301.97
  3 49.4239 649.994 302.88
  4 69.4239 700.006 305.029
  5 89.4239 701.691 306.942
  6 109.424 648.38 308.549
  7 129.424 701.929 309.914
  8 149.424 696.601 314.563
  9 169.424 653.399 310.725
  10 189.424 702 308.399
  11 209.424 665.576 306.131
  12 229.424 684.424 304.49
  13 249.424 701.991 302.809
  14 269.424 649.63 302.418
  15 289.424 700.379 300.936
  16 309.424 701.582 299.168
  17 329.424 648.423 298.821
  18 349.424 701.996 297.87
  19 369.424 689.628 297.336
  20 389.424 660.372 295.708
  21 409.424 702 293.655
  22 429.424 659.193 290.861
  23 449.424 690.807 286.276
  24 469.424 701.997 290.311
  25 489.424 648.232 292.45
  26 509.424 701.771 295.292
  27 529.424 700 296.876
  28 549.424 650.003 296.842
  29 569.424 701.997 297.488
  30 589.424 681.757 299.536
  31 609.424 47.5053 300.611
1000000 31
  1 9.42391 674.863 300.922
  2 29.4239 702 302.494
  3 49.4239 650.601 302.913
  4 69.4239 699.399 304.503
  5 89.4239 701.595 306.029
  6 109.424 648.466 306.761
  7 129.424 701.939 310.131
  8 149.424 695.905 315.257
  9 169.424 654.096 310.671
  10 189.424 702 308.275
  11 209.424 665.78 307.057
  12 229.424 684.22 305.521
  13 249.424 701.993 304.642
  14 269.424 649.308 302.886
  15 289.424 700.699 302.051
  16 309.424 701.607 300.946
  17 329.424 648.404 300.276
  18 349.424 701.989 298.566
  19 369.424 688.881 296.81
  20 389.424 661.119 295.835
  21 409.424 702 292.914
  22 429.424 659.52 290.553
  23 449.424 690.48 285.985
  24 469.424 701.994 289.447
  25 489.424 648.449 291.933
  26 509.424 701.557 294.098
  27 529.424 700.22 295.181
  28 549.424 649.781 296.412
  29 569.424 701.999 297.64
  30 589.424 681.981 298.495
  31 609.424 47.1557 299.542
1500000 31
  1 9.42391 675.13 301.307
  2 29.4239 702 302.432
  3 49.4239 651.227 304.405
  4 69.4239 698.773 305.131
  5 89.4239 701.78 305.978
  6 109.424 648.258 307.625
  7 129.424 701.961 309.719
  8 149.424 696.371 314.341
  9 169.424 653.629 310.475
  10 189.424 702 307.837
  11 209.424 665.908 305.399
  12 229.424 684.092 304.26
  13 249.424 701.995 303.597
