# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
500000 41
  1 9.03551 674.634 206.445
  2 29.0355 702 207.021
  3 49.0355 648.23 207.523
  4 69.0355 701.77 208.386
  5 89.0355 701.92 208.615
  6 109.036 648.08 209.415
  7 129.036 702 210.055
  8 149.036 686.623 210.849
  9 169.036 663.377 212.672
  10 189.036 702 216.885
  11 209.036 648.721 217.895
  12 229.036 701.279 213.066
  13 249.036 701.989 210.688
  14 269.036 648.011 210.086
  15 289.036 702 209.071
  16 309.036 693.912 208.767
  17 329.036 656.088 208.421
  18 349.036 702 207.726
  19 369.036 651.795 206.826
  20 389.036 698.205 206.088
  21 409.036 701.999 205.645
  22 429.036 648.002 205.104
  23 449.036 701.999 204.823
  24 469.036 698.505 203.692
  25 489.036 651.495 202.825
  26 509.036 702 202.17
  27 529.036 656.159 201.478
  28 549.036 693.841 200.329
  29 569.036 702 199.122
  30 589.036 648.005 195.708
  31 609.036 701.995 195.131
  32 629.036 701.107 198.931
  33 649.036 648.893 200.133
  34 669.036 702 200.892
  35 689.036 662.969 202.303
  36 709.036 687.031 203.264
  37 729.036 702 203.554
  38 749.036 648.086 204.556
  39 769.036 701.914 205.047
  40 789.036 701.755 206.257
  41 809.036 135.61 206.425
1000000 41
  1 9.03551 674.624 206.088
  2 29.0355 702 206.3
  3 49.0355 648.182 206.651
  4 69.0355 701.818 207.441
  5 89.0355 701.931 208.422
  6 109.036 648.069 208.681
  7 129.036 702 209.084
  8 149.036 686.451 210.619
  9 169.036 663.549 212.732
  10 189.036 702 216.311
  11 209.036 648.874 217.099
  12 229.036 701.126 213.149
  13 249.036 701.983 211.591
  14 269.036 648.017 210.453
  15 289.036 702 210.016
  16 309.036 693.616 209.67
  17 329.036 656.384 208.589
  18 349.036 702 208.003
  19 369.036 651.383 207.852
  20 389.036 698.617 207.026
  21 409.036 702 205.899
  22 429.036 648.001 205.21
  23 449.036 702 204.767
  24 469.036 698.77 204.596
  25 489.036 651.23 204.151
  26 509.036 702 202.75
  27 529.036 656.166 201.973
  28 549.036 693.834 201.448
  29 569.036 702 199.244
  30 589.036 648.007 195.476
  31 609.036 701.993 194.115
  32 629.036 700.927 198.411
  33 649.036 649.073 199.715
  34 669.036 702 201.465
  35 689.036 663.288 202.338
  36 709.036 686.712 203.312
  37 729.036 702 203.56
  38 749.036 648.067 203.986
  39 769.036 701.933 204.48
  40 789.036 701.782 205.126
  41 809.036 135.594 205.422
1500000 41
  1 9.03551 674.653 206.363
  2 29.0355 702 206.529
  3 49.0355 648.185 207.7
  4 69.0355 701.815 208.041
  5 89.0355 701.912 208.856
  6 109.036 648.088 208.805
  7 129.036 702 209.539
  8 149.036 686.193 210.97
  9 169.036 663.807 213.015
  10 189.036 702 217.14
  11 209.036 648.999 217.333
  12 229.036 701.001 212.742
  13 249.036 701.983 210.467
  14 269.036 648.017 209.961
  15 289.036 702 208.68
  16 309.036 694.005 208.355
  17 329.036 655.995 208.033
  18 349.036 702 207.96
  19 369.036 650.826 207.173
  20 389.036 699.174 206.579
  21 409.036 702 205.654
  22 429.036 648.001 204.858
  23 449.036 702 203.981
  24 469.036 698.643 204.015
  25 489.036 651.357 203.555
  26 509.036 702 202.794
  27 529.036 656.341 201.73
  28 549.036 693.659 200.877
  29 569.036 702 199.157
  30 589.036 648.009 196.11
  31 609.036 701.991 195.117
  32 629.036 700.813 198.995
  33 649.036 649.187 200.724
  34 669.036 702 201.312
  35 689.036 663.27 202.462
  36 709.036 686.73 203.092
  37 729.036 702 204.133
  38 749.036 648.054 204.692
  39 769.036 701.946 204.664
  40 789.036 701.847 205.769
  41 809.036 135.5 205.839
