# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
500000 41
  1 9.41633 676.213 299.836
  2 29.4163 701.996 301.096
  3 49.4163 655.461 302.091
  4 69.4163 694.543 303.004
  5 89.4163 701.956 304.228
  6 109.416 648.33 305.089
  7 129.416 701.714 305.822
  8 149.416 699.879 307.779
  9 169.416 650.123 310.542
  10 189.416 701.998 314.178
  11 209.416 686.552 314.462
  12 229.416 663.448 310.044
  13 249.416 702 307.405
  14 269.416 663.841 305.679
  15 289.416 686.159 305.454
  16 309.416 701.997 303.886
  17 329.416 649.31 303.44
  18 349.416 700.693 301.84
  19 369.416 700.972 300.541
  20 389.416 649.134 299.151
  21 409.416 701.894 298.584
  22 429.416 694.831 298.573
  23 449.416 655.176 297.264
  24 469.416 701.993 296.531
  25 489.416 675.588 295.208
  26 509.416 674.412 294
  27 529.416 702 291.841
  28 549.416 651.834 291.569
  29 569.416 698.167 289.075
  30 589.416 701.876 284.29
  31 609.416 648.404 284.219
  32 629.416 701.72 288.311
  33 649.416 700.314 291.657
  34 669.416 649.702 293.516
  35 689.416 701.984 293.615
  36 709.416 687.33 294.858
  37 729.416 662.67 295.451
  38 749.416 701.999 296.466
  39 769.416 660.216 296.918
  40 789.416 689.784 298.935
  41 809.416 133.787 299.056
1000000 41
  1 9.41633 677.012 300.638
  2 29.4163 701.998 301.628
  3 49.4163 655.677 302.864
  4 69.4163 694.325 303.168
  5 89.4163 701.943 304.135
  6 109.416 648.479 305.157
  7 129.416 701.579 305.884
  8 149.416 699.38 307.195
  9 169.416 650.626 308.96
  10 189.416 701.994 313.486
  11 209.416 686.152 313.784
  12 229.416 663.848 309.75
  13 249.416 702 307.264
  14 269.416 664.263 306.556
  15 289.416 685.737 305.609
  16 309.416 701.999 304.005
  17 329.416 648.955 302.605
  18 349.416 701.046 301.686
  19 369.416 701.574 299.905
  20 389.416 648.471 298.813
  21 409.416 701.956 297.838
  22 429.416 694.86 297.277
  23 449.416 655.142 296.911
  24 469.416 701.998 295.695
  25 489.416 675.118 293.586
  26 509.416 674.882 292.966
  27 529.416 701.999 292.529
  28 549.416 652.793 290.937
  29 569.416 697.208 288.975
  30 589.416 701.772 284.969
  31 609.416 648.57 284.978
  32 629.416 701.658 289.715
  33 649.416 699.763 291.512
  34 669.416 650.25 292.884
  35 689.416 701.987 294.118
  36 709.416 688.525 295.425
  37 729.416 661.475 296.699
  38 749.416 702 297.959
  39 769.416 658.071 298.655
  40 789.416 691.929 299.542
  41 809.416 132.988 300.127
1500000 41
  1 9.41633 676.679 299.866
  2 29.4163 701.996 300.059
  3 49.4163 654.601 301.45
  4 69.4163 695.402 302.03
  5 89.4163 701.921 303.798
  6 109.416 648.402 305.016
  7 129.416 701.677 306.33
  8 149.416 698.76 307.426
  9 169.416 651.247 309.359
  10 189.416 701.993 314.544
  11 209.416 685.52 314.463
  12 229.416 664.48 309.931
  13 249.416 702 307.831
  14 269.416 664.525 307.367
  15 289.416 685.475 305.697
  16 309.416 701.998 303.921
  17 329.416 648.77 302.994
  18 349.416 701.232 301.58
  19 369.416 701.655 300.53
  20 389.416 648.395 299.764
  21 409.416 701.95 298.71
  22 429.416 696.016 297.167
  23 449.416 653.985 296.8
  24 469.416 701.999 295.974
  25 489.416 676.056 295.103
  26 509.416 673.944 293.425
  27 529.416 701.998 292.805
  28 549.416 653.117 290.768
  29 569.416 696.885 289.338
  30 589.416 701.791 284.906
  31 609.416 648.778 284.95
  32 629.416 701.431 289.083
  33 649.416 699.875 291.194
  34 669.416 650.137 292.864
  35 689.416 701.988 293.897
  36 709.416 687.247 295.466
  37 729.416 662.753 296.666
  38 749.416 702 297.036
  39 769.416 657.47 296.728
  40 789.416 692.53 299.39
  41 809.416 133.321 300.819
2000000 41
  1 9.41633 677.133 298.512
  2 29.4163 702 299.638
  3 49.4163 653.788 300.651
  4 69.4163 696.212 301.53
  5 89.4163 701.973 302.711
  6 109.416 648.221 304.618
  7 129.416 701.806 305.444
