# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
500000 41
  1 9.05326 674.135 101.322
  2 29.0533 702 102.204
  3 49.0533 648.037 102.723
  4 69.0533 701.963 103.211
  5 89.0533 701.987 103.499
  6 109.053 648.013 104.231
  7 129.053 702 105.387
  8 149.053 691.858 107.036
  9 169.053 658.142 109.582
  10 189.053 702 112.405
  11 209.053 648.12 117.457
  12 229.053 701.88 110.115
  13 249.053 702 108.09
  14 269.053 648 105.983
  15 289.053 702 105.076
  16 309.053 698.261 104.17
  17 329.053 651.739 103.534
  18 349.053 702 102.641
  19 369.053 651.323 102.226
  20 389.053 698.677 101.412
  21 409.053 702 100.891
  22 429.053 648 100.562
  23 449.053 702 100.35
  24 469.053 700.924 99.6535
  25 489.053 649.076 99.0841
  26 509.053 702 98.6949
  27 529.053 659.667 97.8454
  28 549.053 690.333 97.2508
  29 569.053 702 95.7243
  30 589.053 648.001 92.0028
  31 609.053 701.999 91.667
  32 629.053 701.946 95.514
  33 649.053 648.054 96.7611
  34 669.053 702 97.376
  35 689.053 670.369 98.0367
  36 709.053 679.631 98.6488
  37 729.053 702 99.4254
  38 749.053 648.126 99.989
  39 769.053 701.874 100.163
  40 789.053 701.999 100.74
  41 809.053 135.866 100.87
1000000 41
  1 9.05326 672.938 101.15
  2 29.0533 702 101.2
  3 49.0533 648.084 102.17
  4 69.0533 701.916 102.354
  5 89.0533 701.988 103.188
  6 109.053 648.012 103.753
  7 129.053 702 107.933
  8 149.053 691.428 108.952
  9 169.053 658.572 108.63
  10 189.053 702 113.705
  11 209.053 648.202 117.66
  12 229.053 701.798 110.725
  13 249.053 701.999 107.475
  14 269.053 648.001 108.641
  15 289.053 702 104.642
  16 309.053 697.733 104.486
  17 329.053 652.267 102.757
  18 349.053 702 103.237
  19 369.053 651.722 102.277
  20 389.053 698.278 101.501
  21 409.053 702 99.877
  22 429.053 648 100.581
  23 449.053 702 99.7933
  24 469.053 700.556 99.2151
  25 489.053 649.444 98.8396
  26 509.053 702 98.2712
  27 529.053 659.739 96.9568
  28 549.053 690.261 96.7099
  29 569.053 702 94.49
  30 589.053 648.001 91.2433
  31 609.053 701.999 90.8519
  32 629.053 701.919 94.1648
  33 649.053 648.081 95.2805
  34 669.053 702 96.7967
  35 689.053 671.019 97.4348
  36 709.053 678.981 97.3196
  37 729.053 702 98.0756
  38 749.053 648.141 99.1933
  39 769.053 701.859 100.105
  40 789.053 701.998 99.8949
  41 809.053 137.064 99.6982
1500000 41
  1 9.05326 673.998 100.503
  2 29.0533 702 101.148
  3 49.0533 648.137 101.998
  4 69.0533 701.863 102.261
  5 89.0533 701.958 103.578
  6 109.053 648.042 104.702
  7 129.053 702 105.906
  8 149.053 689.899 108.557
  9 169.053 660.101 111.191
  10 189.053 702 116.595
  11 209.053 648.354 120.145
  12 229.053 701.646 110.357
  13 249.053 701.996 106.984
  14 269.053 648.004 105.583
  15 289.053 702 104.104
  16 309.053 697.276 103.241
  17 329.053 652.724 102.306
  18 349.053 702 101.616
  19 369.053 652.396 100.286
  20 389.053 697.604 100.214
  21 409.053 702 99.1516
  22 429.053 648.001 99.5238
  23 449.053 701.999 99.1747
  24 469.053 700.323 98.2478
  25 489.053 649.677 97.6932
  26 509.053 702 97.4898
  27 529.053 661.066 96.646
  28 549.053 688.934 95.9834
  29 569.053 702 95.0589
  30 589.053 648.001 91.2997
  31 609.053 701.999 90.8817
  32 629.053 701.873 94.3849
  33 649.053 648.127 95.7921
  34 669.053 702 96.7792
  35 689.053 671.044 97.2316
  36 709.053 678.956 97.5528
  37 729.053 702 98.5196
  38 749.053 648.243 98.874
  39 769.053 701.757 99.183
  40 789.053 701.994 99.9822
  41 809.053 136.008 99.9396
